name,type,start_time,duration,mosi,miso,data
Async Serial,data,0,0.00001025,,,C
Async Serial [1],data,0.000010062,0.00001025,,,C
Async Serial,data,0.000010813,0.00001025,,,1
SPI,enable,0.000020812,0.000000063,,,
SPI,result,0.000020938,0.000001688,1,ÿ,
Async Serial,data,0.000021625,0.00001025,,,2
SPI,result,0.00003175,0.000001625,2,ÿ,
Async Serial,data,0.000032437,0.00001025,,,3
SPI,result,0.0000425,0.000001687,3,ÿ,
Async Serial,data,0.00004325,0.00001025,,,4
SPI,result,0.000053312,0.000001688,4,ÿ,
Async Serial,data,0.000054125,0.00001025,,,5
SPI,result,0.00006425,0.000001625,5,ÿ,
Async Serial,data,0.000064938,0.00001025,,,6
SPI,result,0.000075,0.000001688,6,ÿ,
Async Serial,data,0.00007575,0.00001025,,,7
SPI,result,0.000085937,0.000001625,7,ÿ,
Async Serial,data,0.000086563,0.00001025,,,8
SPI,result,0.000096687,0.000001688,8,ÿ,
Async Serial,data,0.000097437,0.00001025,,,9
SPI,result,0.0001075,0.000001688,9,ÿ,
Async Serial,data,0.00010825,0.00001025,,,1
SPI,result,0.000118438,0.000001625,1,ÿ,
Async Serial,data,0.000119063,0.00001025,,,0
SPI,result,0.000129187,0.000001688,0,ÿ,
Async Serial,data,0.000129937,0.00001025,,,1
SPI,result,0.00014,0.000001688,1,ÿ,
Async Serial,data,0.00014075,0.00001025,,,2
SPI,result,0.000150812,0.000001625,2,ÿ,
Async Serial,data,0.000151562,0.00001025,,,3
SPI,result,0.000161688,0.000001687,3,ÿ,
Async Serial,data,0.000162375,0.00001025,,,4
SPI,result,0.0001725,0.000001625,4,ÿ,
Async Serial,data,0.00017325,0.00001025,,,5
SPI,result,0.000183375,0.000001688,5,ÿ,
Async Serial,data,0.000184062,0.00001025,,,6
SPI,result,0.000194188,0.000001625,6,ÿ,
Async Serial,data,0.000194875,0.00001025,,,7
SPI,result,0.000205,0.000001625,7,ÿ,
Async Serial,data,0.000205688,0.00001025,,,8
SPI,result,0.000215875,0.000001688,8,ÿ,
Async Serial,data,0.000216562,0.00001025,,,9
SPI,result,0.000226687,0.000001625,9,ÿ,
Async Serial,data,0.000227375,0.00001025,,,1
SPI,result,0.000237438,0.000001688,1,ÿ,
Async Serial,data,0.000238187,0.00001025,,,0
SPI,result,0.000248375,0.000001625,0,ÿ,
Async Serial,data,0.000249062,0.00001025,,,1
SPI,result,0.000259125,0.000001688,1,ÿ,
Async Serial,data,0.000259875,0.00001025,,,2
SPI,result,0.000269937,0.000001688,2,ÿ,
Async Serial,data,0.000270687,0.00001025,,,3
SPI,result,0.000280813,0.000001687,3,ÿ,
Async Serial,data,0.0002815,0.00001025,,,4
SPI,result,0.000291625,0.000001688,4,ÿ,
Async Serial,data,0.000292375,0.00001025,,,5
SPI,result,0.000302438,0.000001625,5,ÿ,
Async Serial,data,0.000303187,0.00001025,,,6
SPI,result,0.000313313,0.000001688,6,ÿ,
Async Serial,data,0.000314,0.00001025,,,7
SPI,result,0.000324125,0.000001625,7,ÿ,
Async Serial,data,0.000324875,0.00001025,,,8
SPI,result,0.000335,0.000001688,8,ÿ,
Async Serial,data,0.000335687,0.00001025,,,9
SPI,result,0.000345812,0.000001625,9,ÿ,
Async Serial,data,0.0003465,0.00001025,,,1
SPI,result,0.000356563,0.000001688,1,ÿ,
Async Serial,data,0.000357312,0.00001025,,,0
SPI,result,0.000367375,0.000001688,0,ÿ,
Async Serial,data,0.000368187,0.00001025,,,1
SPI,result,0.00037825,0.000001688,1,ÿ,
Async Serial,data,0.000379,0.00001025,,,2
SPI,result,0.000389062,0.000001688,2,ÿ,
Async Serial,data,0.000389812,0.00001025,,,3
SPI,result,0.000399938,0.000001687,3,ÿ,
Async Serial,data,0.000400625,0.00001025,,,4
SPI,result,0.00041075,0.000001688,4,ÿ,
Async Serial,data,0.0004115,0.00001025,,,5
SPI,result,0.000421563,0.000001625,5,ÿ,
Async Serial,data,0.000422312,0.00001025,,,6
SPI,result,0.000432438,0.000001688,6,ÿ,
Async Serial,data,0.000433125,0.00001025,,,7
SPI,result,0.00044325,0.000001625,7,ÿ,
Async Serial,data,0.000444,0.00001025,,,8
SPI,result,0.000454125,0.000001688,8,ÿ,
Async Serial,data,0.000454813,0.00001025,,,9
SPI,result,0.000464937,0.000001625,9,ÿ,
Async Serial,data,0.000465625,0.00001025,,,1
SPI,result,0.000475688,0.000001688,1,ÿ,
Async Serial,data,0.000476437,0.00001025,,,0
SPI,result,0.0004865,0.000001688,0,ÿ,
Async Serial,data,0.000487312,0.00001025,,,1
SPI,result,0.000497438,0.000001625,1,ÿ,
Async Serial,data,0.000498125,0.00001025,,,2
SPI,result,0.000508187,0.000001688,2,ÿ,
Async Serial,data,0.000508937,0.00001025,,,3
SPI,result,0.000519125,0.000001625,3,ÿ,
Async Serial,data,0.00051975,0.00001025,,,4
SPI,result,0.000529875,0.000001688,4,ÿ,
Async Serial,data,0.000530625,0.00001025,,,5
SPI,result,0.000540688,0.000001625,5,ÿ,
Async Serial,data,0.000541437,0.00001025,,,6
SPI,result,0.000551563,0.000001688,6,ÿ,
Async Serial,data,0.00055225,0.00001025,,,7
SPI,result,0.000562375,0.000001625,7,ÿ,
Async Serial,data,0.000563063,0.00001025,,,8
SPI,result,0.000573125,0.000001687,8,ÿ,
Async Serial,data,0.000573938,0.00001025,,,9
SPI,result,0.000584062,0.000001625,9,ÿ,
Async Serial,data,0.00058475,0.00001025,,,1
SPI,result,0.000594813,0.000001688,1,ÿ,
Async Serial,data,0.000595562,0.00001025,,,0
SPI,result,0.000605625,0.000001688,0,ÿ,
Async Serial,data,0.000606375,0.00001025,,,1
SPI,result,0.0006165,0.000001688,1,ÿ,
Async Serial,data,0.00061725,0.00001025,,,2
SPI,result,0.000627312,0.000001688,2,ÿ,
Async Serial,data,0.000628062,0.00001025,,,3
SPI,result,0.000638125,0.000001625,3,ÿ,
Async Serial,data,0.000638875,0.00001025,,,4
SPI,result,0.000649,0.000001687,4,ÿ,
Async Serial,data,0.000649687,0.00001025,,,5
SPI,result,0.000659813,0.000001625,5,ÿ,
Async Serial,data,0.000660562,0.00001025,,,6
SPI,result,0.000670688,0.000001688,6,ÿ,
Async Serial,data,0.000671375,0.00001025,,,7
SPI,result,0.0006815,0.000001625,7,ÿ,
Async Serial,data,0.000682188,0.00001025,,,8
SPI,result,0.00069225,0.000001687,8,ÿ,
Async Serial,data,0.000693,0.00001025,,,9
SPI,result,0.000703187,0.000001625,9,ÿ,
Async Serial,data,0.000703813,0.00001025,,,1
SPI,result,0.000713938,0.000001688,1,ÿ,
Async Serial,data,0.000714687,0.00001025,,,0
SPI,result,0.00072475,0.000001625,0,ÿ,
Async Serial,data,0.0007255,0.00001025,,,1
SPI,result,0.000735625,0.000001688,1,ÿ,
Async Serial,data,0.000736313,0.00001025,,,2
SPI,result,0.000746437,0.000001625,2,ÿ,
Async Serial,data,0.000747187,0.00001025,,,3
SPI,result,0.000757188,0.000001688,3,ÿ,
Async Serial,data,0.000758,0.00001025,,,4
SPI,result,0.000768125,0.000001625,4,ÿ,
Async Serial,data,0.000768812,0.00001025,,,5
SPI,result,0.000778875,0.000001687,5,ÿ,
Async Serial,data,0.000779625,0.00001025,,,6
SPI,result,0.000789687,0.000001688,6,ÿ,
Async Serial,data,0.0007905,0.00001025,,,7
SPI,result,0.000800563,0.000001688,7,ÿ,
Async Serial,data,0.00080125,0.00001025,,,8
SPI,result,0.000811375,0.000001687,8,ÿ,
Async Serial,data,0.000812125,0.00001025,,,9
SPI,result,0.00082225,0.000001688,9,ÿ,
Async Serial,data,0.000822938,0.00001025,,,1
SPI,result,0.000833062,0.000001688,1,ÿ,
Async Serial,data,0.00083375,0.00001025,,,0
SPI,result,0.000843875,0.000001625,0,ÿ,
Async Serial,data,0.000844625,0.00001025,,,1
SPI,result,0.00085475,0.000001688,1,ÿ,
Async Serial,data,0.000855438,0.00001025,,,2
SPI,result,0.000865562,0.000001625,2,ÿ,
Async Serial,data,0.00086625,0.00001025,,,3
SPI,result,0.000876313,0.000001688,3,ÿ,
Async Serial,data,0.000877062,0.00001025,,,4
SPI,result,0.000887125,0.000001688,4,ÿ,
Async Serial,data,0.000887875,0.00001025,,,5
SPI,result,0.000898,0.000001687,5,ÿ,
Async Serial,data,0.000898688,0.00001025,,,6
SPI,result,0.000908812,0.000001688,6,ÿ,
Async Serial,data,0.000909562,0.00001025,,,7
SPI,result,0.000919688,0.000001688,7,ÿ,
Async Serial,data,0.000920375,0.00001025,,,8
SPI,result,0.0009305,0.000001687,8,ÿ,
Async Serial,data,0.000931187,0.00001025,,,9
SPI,result,0.000941312,0.000001625,9,ÿ,
Async Serial,data,0.000942,0.00001025,,,1
SPI,result,0.000952062,0.000001688,1,ÿ,
Async Serial,data,0.000952813,0.00001025,,,0
SPI,result,0.000963,0.000001625,0,ÿ,
Async Serial,data,0.000963688,0.00001025,,,1
SPI,result,0.00097375,0.000001688,1,ÿ,
Async Serial,data,0.0009745,0.00001025,,,2
SPI,result,0.000984562,0.000001688,2,ÿ,
Async Serial,data,0.000985313,0.00001025,,,3
SPI,result,0.000995437,0.000001688,3,ÿ,
Async Serial,data,0.000996125,0.00001025,,,4
SPI,result,0.00100625,0.000001688,4,ÿ,
Async Serial,data,0.001007,0.00001025,,,5
SPI,result,0.001017063,0.000001625,5,ÿ,
Async Serial,data,0.00101775,0.00001025,,,6
SPI,result,0.001027937,0.000001688,6,ÿ,
Async Serial,data,0.001028625,0.00001025,,,7
SPI,result,0.00103875,0.000001625,7,ÿ,
